nomem_encr;nohouse_encr;wave;geslacht;gender;positie;gebjaar;leeftijd;lftdcat;lftdhhh;aantalhh;aantalki;partner;burgstat;woonvorm;woning;sted;belbezig;brutoink;brutoink_f;nettoink;netinc;nettoink_f;brutocat;nettocat;brutohh_f;nettohh_f;oplzon;oplmet;oplcat;doetmee;werving;herkomstgroep;simpc
805484;531311;202207;1;999;1;1958;63;6;63;4;1;1;1;3;1;5;1;-13;4822,098295;3000;3000;3000;13;6;7864,276231;5450;2;2;2;1;3;0;0
805493;548367;202207;2;999;5;2006;16;2;51;4;2;1;5;3;1;2;7;0;0;0;0;0;0;0;8617;5205;2;1;1;1;2; ;0
805496;563555;202207;1;999;5;1998;24;2;59;3;1;1;5;3;1;4;7;0;0;0;0;0;0;0;5600;3750;6;3;3;1;8;0;0
805502;557427;202207;2;999;2;1970;52;5;54;3;1;1;1;3;1;3;1;2850;2850;2200;2200;2200;6;5;8070;6530;5;5;5;1;6;0;0
805508;586444;202207;2;999;1;1948;73;7;73;2;1;0;3;4;2;4;9;-13; ;-14;-13; ;13;14; ; ;6;6;6;1;8;102;1
805520;568847;202207;1;999;1;1944;78;7;78;1;0;0;3;1;1;5;9;3050;3050;2150;2150;2150;7;5;3050;2150;5;5;5;1;7;0;1
805532;543127;202207;1;999;1;1964;58;6;58;1;0;0;5;1;2;2;1;-13;3535,250064;2300;2300;2300;13;5;3535,250064;2300;5;4;4;1;6;0;0
805543;536985;202207;2;2;1;1964;57;6;57;4;2;1;3;3;1;2;1;-13;3446,113913;2250;-13;2250;13;5;7622,641101;5000;3;3;3;1;10;0;0
805546;536985;202207;1;999;3;1962;60;6;57;4;2;1;3;3;1;2;3;-13;4176,527188;2750;-13;2750;13;6;7622,641101;5000;5;5;5;0;10; ;0
805560;560256;202207;1;999;1;1943;79;7;79;3;0;1;1;2;1;5;9;7000;7000;5000;5000;5000;11;10;8200;5850;6;6;6;1;3;101;0
805563;528826;202207;1;999;1;1944;78;7;78;3;2;0;2;4;2;2;8;2200;2200;2000;2000;2000;5;4;2200;2000;5;5;5;1;7;102;0
805569;590878;202207;2;999;3;1971;51;5;58;2;0;1;3;2;1;5;1;-13;972,6591564;750;-13;750;13;2;4331,440132;3000;4;4;4;1;2;0;0
805572;569509;202207;1;999;1;1955;67;7;67;1;0;0;5;1;2;1;9;-13;3661,613;2750;-13;2750;13;6;3661,613;2750;5;5;5;1;2;0;0
